"112q -- Vanhojen osakeasuntojen keskihinnat ja kauppojen lukumäärät postinumeroalueittain ja rakennusvuosittain, 2010-2018"

"Postinumero","Talotyyppi","Rakennusvuosi","2010 Neliöhinta (EUR/m2)","2011 Neliöhinta (EUR/m2)","2012 Neliöhinta (EUR/m2)","2013 Neliöhinta (EUR/m2)","2014 Neliöhinta (EUR/m2)","2015 Neliöhinta (EUR/m2)","2016 Neliöhinta (EUR/m2)","2017 Neliöhinta (EUR/m2)","2018 Neliöhinta (EUR/m2)"
"00850 Jollas   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
"00870 Etelä-Laajasalo   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
"00870 Etelä-Laajasalo   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,2546,.,2701,2543,.,.,.,.
"00900 Puotinharju   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",3329,3320,.,.,.,4199,.,.,.
"00900 Puotinharju   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",2418,2517,2589,2870,2969,2940,2941,3057,3136
"00910 Puotila   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",3316,.,.,.,.,.,.,4077,3905
"00910 Puotila   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,2944,3086,3002,3053,3019,3181,3258,3298
"00920 Myllypuro   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",2738,3187,.,3400,.,3772,.,.,.
"00920 Myllypuro   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",2319,2417,.,2727,.,2620,.,.,.
"00930 Itäkeskus-Marjaniemi   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",3089,.,.,.,.,4162,.,.,.
"00930 Itäkeskus-Marjaniemi   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",2632,.,.,.,.,3795,.,.,.
"00940 Kontula - Vesala   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",3088,3098,3144,3372,3395,3437,3418,3286,3503
"00940 Kontula - Vesala   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",2310,2404,2386,2432,2304,2377,2241,2283,2343
"00950 Vartioharju   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
"00950 Vartioharju   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,.,.,.,2988,.,.,.,.
"00960 Pohjois-Vuosaari   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",3285,3392,3845,3841,4303,4277,4178,3858,4184
"00960 Pohjois-Vuosaari   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",2281,2382,2503,2684,2721,2786,2792,2916,2909
"00970 Mellunmäki   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",2985,.,3431,3685,3608,3346,3574,3483,.
"00970 Mellunmäki   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,2477,2570,2578,2523,2459,2393,2539,2387
"00980 Etelä-Vuosaari   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",3037,3205,3076,3435,3742,3223,3788,4009,4063
"00980 Etelä-Vuosaari   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",2664,2649,2693,2985,3131,3186,3128,3281,3200
"00990 Aurinkolahti   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",4156,4425,4715,4753,4585,4806,5146,5131,.
"00990 Aurinkolahti   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",3915,3952,4278,4425,4376,4495,4506,4741,4820
